movie id,movie title,count
50,Star Wars (1977),583
258,Contact (1997),509
100,Fargo (1996),508
181,Return of the Jedi (1983),507
294,Liar Liar (1997),485
286,"English Patient, The (1996)",481
288,Scream (1996),478
1,Toy Story (1995),452
300,Air Force One (1997),431
121,Independence Day (ID4) (1996),429
174,Raiders of the Lost Ark (1981),420
127,"Godfather, The (1972)",413
56,Pulp Fiction (1994),394
7,Twelve Monkeys (1995),392
98,"Silence of the Lambs, The (1991)",390
237,Jerry Maguire (1996),384
117,"Rock, The (1996)",378
172,"Empire Strikes Back, The (1980)",367
222,Star Trek: First Contact (1996),365
313,Titanic (1997),350
